mode,criterion,fold,ext_auc
clinical,auc,1,0.7898653801428952
clinical,auc,2,0.7808208620214071
clinical,auc,3,0.775665121612193
clinical,auc,4,0.7777068651259389
clinical,auc,5,0.7733975693787152
clinical,neg_brier,1,0.7899681433925935
clinical,neg_brier,2,0.7961555727428592
clinical,neg_brier,3,0.7945438123002202
clinical,neg_brier,4,0.7831911775045839
clinical,neg_brier,5,0.7744995700169289
fusion,auc,1,0.844362354035621
fusion,auc,2,0.867554396914939
fusion,auc,3,0.7961636856309935
fusion,auc,4,0.763063102043907
fusion,auc,5,0.7597827909416901
fusion,neg_brier,1,0.8822630631020438
fusion,neg_brier,2,0.7824177488358005
fusion,neg_brier,3,0.8700396449800153
fusion,neg_brier,4,0.7691964454732789
fusion,neg_brier,5,0.806826724935232
imaging,auc,1,0.8236636721095133
imaging,auc,2,0.8049134354836094
imaging,auc,3,0.7757570676777128
imaging,auc,4,0.6980193735768643
imaging,auc,5,0.7473105775835492
imaging,neg_brier,1,0.8223020590510084
imaging,neg_brier,2,0.7588876689508954
imaging,neg_brier,3,0.8289505708768952
imaging,neg_brier,4,0.6980193735768643
imaging,neg_brier,5,0.7473105775835492
