cohort,mode,criterion,fold,n,n_pred_AD,bal_acc,degenerate,direction,mean_prob,positive_rate,oe,ece,aece,mce,brier
oasis,clinical,auc,1,73,44,0.6947368421052631,False,working,0.5332403683090863,0.5205479452054794,0.023703218502142447,0.08672661222007176,0.15421558304192265,0.47429484128952026,0.19257221157870408
oasis,clinical,auc,2,73,20,0.6533834586466165,False,working,0.4810505987030186,0.5205479452054794,0.016218420966857595,0.10950850909703395,0.19667034075684742,0.27193568646907806,0.23572897556442435
oasis,clinical,auc,3,73,71,0.5294117647058824,False,working,0.5448111838673892,0.5342465753424658,0.006716488105503959,0.016565697242135944,0.2268373153797567,0.4951280802488327,0.2407296862294879
oasis,clinical,auc,4,73,31,0.7322775263951735,False,working,0.46645988523960114,0.5342465753424658,0.00663283241816463,0.11519490141574648,0.1895647977721201,0.25263494650522866,0.1761573879317451
oasis,clinical,auc,5,73,32,0.7726244343891402,False,working,0.4956190737142955,0.5342465753424658,0.018060528787641535,0.149284496291043,0.16530993989069165,0.20121991175871634,0.17405440552991483
oasis,clinical,auc_minus_ece,1,73,44,0.6947368421052631,False,working,0.5355900121878271,0.5205479452054794,0.02993562002602504,0.12449261219534158,0.14302833153776925,0.28468388319015503,0.20488398190675358
oasis,clinical,auc_minus_ece,2,73,32,0.7289473684210527,False,working,0.4857522420687218,0.5205479452054794,0.013280942506873656,0.10874866704418235,0.16246910781076507,0.17999561266465625,0.20477070548570217
oasis,clinical,auc_minus_ece,3,73,71,0.5294117647058824,False,working,0.5448111838673892,0.5342465753424658,0.006716488105503959,0.016565697242135944,0.2268373153797567,0.4951280802488327,0.2407296862294879
oasis,clinical,auc_minus_ece,4,73,32,0.7450980392156863,False,working,0.46383122099588997,0.5342465753424658,0.01651822572762468,0.1536598638312457,0.1857541546429673,0.23165356485467203,0.16771533412890674
oasis,clinical,auc_minus_ece,5,73,17,0.6628959276018099,False,working,0.4732300430944521,0.5342465753424658,0.010986184298802729,0.10881129315454667,0.20363030000908736,0.3646303310113794,0.23867355595777356
oasis,clinical,gated_bacc,1,73,44,0.6947368421052631,False,working,0.5332403683090863,0.5205479452054794,0.023703218502142447,0.08672661222007176,0.15421558304192265,0.47429484128952026,0.19257221157870408
oasis,clinical,gated_bacc,2,73,20,0.6533834586466165,False,working,0.4810505987030186,0.5205479452054794,0.016218420966857595,0.10950850909703395,0.19667034075684742,0.27193568646907806,0.23572897556442435
oasis,clinical,gated_bacc,3,73,60,0.5810708898944194,False,working,0.540947871257181,0.5342465753424658,0.015820088826735815,0.05796775058524256,0.2036349344743441,0.1815707844037276,0.23686012829657344
oasis,clinical,gated_bacc,4,73,31,0.7322775263951735,False,working,0.46645988523960114,0.5342465753424658,0.00663283241816463,0.11519490141574648,0.1895647977721201,0.25263494650522866,0.1761573879317451
oasis,clinical,gated_bacc,5,73,32,0.7726244343891402,False,working,0.4956190737142955,0.5342465753424658,0.018060528787641535,0.149284496291043,0.16530993989069165,0.20121991175871634,0.17405440552991483
oasis,clinical,neg_brier,1,73,44,0.6947368421052631,False,working,0.5360034108161926,0.5205479452054794,0.028631784797637398,0.09430098125379378,0.15363112786044816,0.4783969223499298,0.19195928546335328
oasis,clinical,neg_brier,2,73,32,0.7289473684210527,False,working,0.4857522420687218,0.5205479452054794,0.013280942506873656,0.10874866704418235,0.16246910781076507,0.17999561266465625,0.20477070548570217
oasis,clinical,neg_brier,3,73,42,0.7356711915535445,False,working,0.5177190254812372,0.5342465753424658,0.022811993220940123,0.13136297872621716,0.16897138504132833,0.299138605594635,0.21185972849533313
oasis,clinical,neg_brier,4,73,32,0.7450980392156863,False,working,0.46383122099588997,0.5342465753424658,0.01651822572762468,0.1536598638312457,0.1857541546429673,0.23165356485467203,0.16771533412890674
oasis,clinical,neg_brier,5,73,32,0.7726244343891402,False,working,0.4946418678107327,0.5342465753424658,0.014901645118820897,0.135096596936657,0.16743317573037866,0.1903506471560552,0.17106146213424114
oasis,imaging,auc,1,73,61,0.643984962406015,False,working,0.6651670814376988,0.5205479452054794,0.09248773850584839,0.17453316588924359,0.16233394039820315,0.37025585025548935,0.20683456522224708
oasis,imaging,auc,2,73,0,0.5,True,all_CN,0.04072000014863602,0.5205479452054794,0.0,0.4798279450568434,0.4798279450568434,0.4798279450568434,0.47531682937613523
oasis,imaging,auc,3,73,25,0.7104072398190044,False,working,0.3792065822914855,0.5342465753424658,0.0003574131613422233,0.16328257322311399,0.18477244960935146,0.5383070011933644,0.19807158303320502
oasis,imaging,auc,4,73,30,0.7194570135746606,False,working,0.4390954159404317,0.5342465753424658,0.023064300381624433,0.1744858442410214,0.17401884807503387,0.6748110592365265,0.18224989690203122
oasis,imaging,auc,5,73,33,0.7854449472096531,False,working,0.4595143532201852,0.5342465753424658,0.022268827611322387,0.1348636691802985,0.1283526098585292,0.43011238177617384,0.1605295183456564
oasis,imaging,auc_minus_ece,1,73,41,0.737593984962406,False,working,0.5657378400433554,0.5205479452054794,0.07868051064083688,0.16702705764607206,0.18110284882865538,0.5148727893829346,0.20214615615591092
oasis,imaging,auc_minus_ece,2,73,55,0.674812030075188,False,working,0.739944275621682,0.5205479452054794,0.17689980221359,0.23744380463884301,0.26350148808057994,0.7537165681521097,0.23464317060105383
oasis,imaging,auc_minus_ece,3,73,37,0.7816742081447964,False,working,0.49005285063630916,0.5342465753424658,0.02373042707176525,0.11053873123983812,0.10540861376140215,0.6398934523264568,0.14093005079893794
oasis,imaging,auc_minus_ece,4,73,30,0.7194570135746606,False,working,0.4390954159404317,0.5342465753424658,0.023064300381624433,0.1744858442410214,0.17401884807503387,0.6748110592365265,0.18224989690203122
oasis,imaging,auc_minus_ece,5,73,66,0.6029411764705882,False,working,0.6535609095063928,0.5342465753424658,0.10038420898067679,0.23722055840165646,0.23483324214203716,0.5508777764108446,0.20197482896618849
oasis,imaging,gated_bacc,1,73,61,0.643984962406015,False,working,0.6651670814376988,0.5205479452054794,0.09248773850584839,0.17453316588924359,0.16233394039820315,0.37025585025548935,0.20683456522224708
oasis,imaging,gated_bacc,2,73,21,0.6390977443609023,False,working,0.29420264038474186,0.5205479452054794,0.02215175197769355,0.276519784435936,0.264365661289696,0.7615565359592438,0.2667863073332222
oasis,imaging,gated_bacc,3,73,25,0.7104072398190044,False,working,0.3792065822914855,0.5342465753424658,0.0003574131613422233,0.16328257322311399,0.18477244960935146,0.5383070011933644,0.19807158303320502
oasis,imaging,gated_bacc,4,73,30,0.7194570135746606,False,working,0.4390954159404317,0.5342465753424658,0.023064300381624433,0.1744858442410214,0.17401884807503387,0.6748110592365265,0.18224989690203122
oasis,imaging,gated_bacc,5,73,33,0.7854449472096531,False,working,0.4595143532201852,0.5342465753424658,0.022268827611322387,0.1348636691802985,0.1283526098585292,0.43011238177617384,0.1605295183456564
oasis,imaging,neg_brier,1,73,39,0.7112781954887217,False,working,0.563075687225959,0.5205479452054794,0.093853970257464,0.18291395387216786,0.1889619119465351,0.7325800061225891,0.2128837318174999
oasis,imaging,neg_brier,2,73,41,0.7924812030075188,False,working,0.49977815120595775,0.5205479452054794,0.008680927521994808,0.07860013852788975,0.1287280840620603,0.16094174981117249,0.15908877879971023
oasis,imaging,neg_brier,3,73,37,0.7816742081447964,False,working,0.49005285063630916,0.5342465753424658,0.02373042707176525,0.11053873123983812,0.10540861376140215,0.6398934523264568,0.14093005079893794
oasis,imaging,neg_brier,4,73,30,0.7194570135746606,False,working,0.4390954159404317,0.5342465753424658,0.023064300381624433,0.1744858442410214,0.17401884807503387,0.6748110592365265,0.18224989690203122
oasis,imaging,neg_brier,5,73,33,0.7854449472096531,False,working,0.4595143532201852,0.5342465753424658,0.022268827611322387,0.1348636691802985,0.1283526098585292,0.43011238177617384,0.1605295183456564
oasis,fusion,auc,1,73,18,0.7093984962406015,False,working,0.28046426462800533,0.5205479452054794,0.0019176050731215257,0.2510416817991701,0.27232722509397217,0.5546381274859111,0.238427095700601
oasis,fusion,auc,2,73,4,0.5526315789473684,False,working,0.11003084126094433,0.5205479452054794,0.0,0.4105171039445351,0.42661553363583676,0.8605084576540523,0.3701359136565357
oasis,fusion,auc,3,73,41,0.7503770739064857,False,working,0.5450415654133444,0.5342465753424658,0.018209750013303622,0.09910419971159058,0.11961935746343166,0.19114961226781213,0.17233661193418018
oasis,fusion,auc,4,73,0,0.5,True,all_CN,0.04829021173286928,0.5342465753424658,0.0,0.48595636360959643,0.4990206609594903,0.8696828201413155,0.474069512286552
oasis,fusion,auc,5,73,66,0.6029411764705882,False,working,0.8340349325986758,0.5342465753424658,0.2375984341306978,0.29978835725621,0.3100680780329116,0.7632274031639099,0.27396042168234574
oasis,fusion,auc_minus_ece,1,73,37,0.7398496240601504,False,working,0.49378604902439327,0.5205479452054794,0.10281293122275248,0.2405890489558447,0.20422832694619075,0.762175902724266,0.23124975123174185
oasis,fusion,auc_minus_ece,2,73,49,0.7605263157894737,False,working,0.6217378799943891,0.5205479452054794,0.0837391801458581,0.14848983578690111,0.17602027712823595,0.649799625078837,0.17876239872022393
oasis,fusion,auc_minus_ece,3,73,39,0.807315233785822,False,working,0.5366088371366671,0.5342465753424658,0.01858885759241799,0.07402067468182683,0.0936318794137811,0.2430748840173086,0.13178429032067437
oasis,fusion,auc_minus_ece,4,73,53,0.7390648567119156,False,working,0.6395066800999315,0.5342465753424658,0.05506150698896206,0.11948535744458028,0.14542133881621164,0.33338227442332674,0.17247141348866296
oasis,fusion,auc_minus_ece,5,73,62,0.6617647058823529,False,working,0.701241086198859,0.5342465753424658,0.0942897927807898,0.1687003108736587,0.24598282779732794,0.47756890275261615,0.19841913403685782
oasis,fusion,gated_bacc,1,73,18,0.7093984962406015,False,working,0.28046426462800533,0.5205479452054794,0.0019176050731215257,0.2510416817991701,0.27232722509397217,0.5546381274859111,0.238427095700601
oasis,fusion,gated_bacc,2,73,49,0.7605263157894737,False,working,0.6217378799943891,0.5205479452054794,0.0837391801458581,0.14848983578690111,0.17602027712823595,0.649799625078837,0.17876239872022393
oasis,fusion,gated_bacc,3,73,41,0.7503770739064857,False,working,0.5450415654133444,0.5342465753424658,0.018209750013303622,0.09910419971159058,0.11961935746343166,0.19114961226781213,0.17233661193418018
