epoch,train_loss,train_auc,val_loss,val_auc,val_acc,val_bal_acc,val_brier,val_ece,val_sens,val_spec,lr
1,0.7487,0.4086,0.7208,0.3676,0.4595,0.4779,0.2658,0.1071,0.25,0.7059,0.0001
2,0.7481,0.3939,0.7037,0.5147,0.4595,0.4779,0.2571,0.0992,0.25,0.7059,0.0001
3,0.7176,0.4765,0.6849,0.6559,0.5135,0.5324,0.2474,0.0689,0.3,0.7647,0.0001
4,0.6987,0.542,0.6709,0.7147,0.5135,0.5324,0.2401,0.0835,0.3,0.7647,0.0001
5,0.6934,0.5623,0.6563,0.7471,0.6486,0.6574,0.2326,0.1052,0.55,0.7647,0.0001
6,0.696,0.5478,0.6455,0.7529,0.7027,0.7074,0.2269,0.1591,0.65,0.7647,0.0001
7,0.6919,0.5698,0.6329,0.7706,0.8108,0.8029,0.2206,0.2615,0.9,0.7059,0.0001
8,0.646,0.7042,0.6207,0.8088,0.7838,0.7691,0.2145,0.2267,0.95,0.5882,0.0001
9,0.6458,0.7121,0.6103,0.8265,0.7838,0.7691,0.2092,0.2178,0.95,0.5882,0.0001
10,0.6542,0.672,0.5998,0.8529,0.7568,0.7441,0.2042,0.1961,0.9,0.5882,0.0001
11,0.6229,0.7409,0.5894,0.8559,0.7568,0.7441,0.1992,0.1742,0.9,0.5882,0.0001
12,0.6239,0.7395,0.5792,0.85,0.7568,0.7441,0.1942,0.1645,0.9,0.5882,0.0001
13,0.6243,0.7386,0.5706,0.8529,0.7568,0.7441,0.1902,0.162,0.9,0.5882,0.0001
14,0.625,0.7211,0.5605,0.8647,0.7568,0.7441,0.1856,0.1712,0.9,0.5882,0.0001
15,0.6153,0.7493,0.5529,0.8647,0.7838,0.7735,0.1823,0.1687,0.9,0.6471,0.0001
16,0.6068,0.7586,0.5471,0.8647,0.7838,0.7735,0.1795,0.1604,0.9,0.6471,0.0001
17,0.6053,0.7719,0.5393,0.8647,0.7838,0.7735,0.1761,0.1527,0.9,0.6471,0.0001
18,0.5925,0.7681,0.5321,0.8647,0.7838,0.7735,0.1729,0.1449,0.9,0.6471,0.0001
19,0.5771,0.7831,0.5245,0.8676,0.7838,0.7735,0.1698,0.1371,0.9,0.6471,0.0001
20,0.5936,0.7651,0.5196,0.8676,0.7838,0.7735,0.1678,0.1301,0.9,0.6471,0.0001
21,0.5799,0.7869,0.5152,0.8676,0.7838,0.7735,0.1659,0.1227,0.9,0.6471,0.0001
22,0.5896,0.7689,0.5102,0.8676,0.7838,0.7735,0.1638,0.143,0.9,0.6471,0.0001
23,0.5817,0.766,0.5072,0.8676,0.7838,0.7735,0.1628,0.1407,0.9,0.6471,0.0001
24,0.5524,0.8095,0.501,0.8706,0.7838,0.7735,0.1604,0.161,0.9,0.6471,0.0001
25,0.5842,0.7644,0.4967,0.8735,0.7838,0.7735,0.1588,0.1583,0.9,0.6471,0.0001
26,0.5813,0.778,0.4934,0.8706,0.7838,0.7735,0.1578,0.1212,0.9,0.6471,0.0001
27,0.5809,0.7742,0.4895,0.8735,0.7568,0.7485,0.1566,0.1179,0.85,0.6471,0.0001
28,0.5764,0.7723,0.487,0.8735,0.7838,0.7735,0.1557,0.1152,0.9,0.6471,0.0001
29,0.5697,0.7794,0.4846,0.8735,0.7838,0.7735,0.1549,0.124,0.9,0.6471,0.0001
30,0.5768,0.7707,0.4832,0.8735,0.7838,0.7735,0.1546,0.1226,0.9,0.6471,0.0001
31,0.5893,0.75,0.4833,0.8735,0.7838,0.7735,0.1547,0.1213,0.9,0.6471,5e-05
32,0.573,0.7757,0.4828,0.8735,0.7838,0.7735,0.1546,0.1205,0.9,0.6471,5e-05
33,0.5656,0.7858,0.4819,0.8735,0.7838,0.7735,0.1544,0.1188,0.9,0.6471,5e-05
34,0.5782,0.7699,0.4809,0.8735,0.7838,0.7735,0.154,0.1342,0.9,0.6471,5e-05
35,0.5827,0.7615,0.4806,0.8735,0.7838,0.7735,0.1539,0.1338,0.9,0.6471,5e-05
36,0.5498,0.7999,0.4793,0.8735,0.7838,0.7735,0.1536,0.1322,0.9,0.6471,5e-05
37,0.5505,0.7937,0.4791,0.8706,0.7838,0.7735,0.1537,0.1319,0.9,0.6471,2.5e-05
38,0.5431,0.8029,0.4791,0.8706,0.7838,0.7735,0.1537,0.1319,0.9,0.6471,2.5e-05
39,0.5395,0.8045,0.4787,0.8706,0.7838,0.7735,0.1536,0.1317,0.9,0.6471,2.5e-05
40,0.5587,0.7881,0.4781,0.8706,0.7838,0.7735,0.1534,0.1313,0.9,0.6471,2.5e-05
