epoch,train_loss,train_auc,val_loss,val_auc,val_acc,val_bal_acc,val_sens,val_spec,lr
1,0.6113,0.7129,0.7122,0.8265,0.5405,0.5,1.0,0.0,0.0001
2,0.5573,0.7908,0.5433,0.8647,0.6757,0.6956,0.45,0.9412,0.0001
3,0.5594,0.7902,0.5416,0.7912,0.6757,0.6603,0.85,0.4706,0.0001
4,0.5911,0.7734,0.5571,0.8676,0.7568,0.7353,1.0,0.4706,0.0001
5,0.4918,0.8506,0.4969,0.8794,0.6757,0.6868,0.55,0.8235,0.0001
6,0.4575,0.8668,0.7474,0.8676,0.6757,0.7,0.4,1.0,0.0001
7,0.4562,0.8668,5.2607,0.8706,0.4595,0.5,0.0,1.0,0.0001
8,0.4387,0.8809,0.8767,0.8588,0.6757,0.6471,1.0,0.2941,0.0001
9,0.4537,0.872,0.9956,0.8618,0.6216,0.65,0.3,1.0,0.0001
10,0.3676,0.9159,1.2658,0.8735,0.5946,0.5588,1.0,0.1176,0.0001
11,0.416,0.8953,0.7016,0.8941,0.7568,0.7353,1.0,0.4706,0.0001
12,0.4542,0.8721,1.425,0.8676,0.5676,0.5294,1.0,0.0588,0.0001
13,0.381,0.9136,1.6826,0.8853,0.5135,0.55,0.1,1.0,0.0001
14,0.3522,0.9236,1.6348,0.8735,0.5946,0.625,0.25,1.0,0.0001
15,0.3637,0.916,3.6528,0.8765,0.4595,0.5,0.0,1.0,0.0001
16,0.2774,0.952,3.5964,0.8676,0.4595,0.5,0.0,1.0,0.0001
17,0.2514,0.957,2.3942,0.8824,0.4595,0.5,0.0,1.0,5e-05
18,0.1932,0.9774,0.771,0.8618,0.8108,0.7941,1.0,0.5882,5e-05
19,0.162,0.9856,0.8578,0.8471,0.8378,0.8235,1.0,0.6471,5e-05
20,0.1133,0.9904,1.4557,0.8441,0.5676,0.5956,0.25,0.9412,5e-05
21,0.0438,0.9999,0.6761,0.8265,0.7568,0.7574,0.75,0.7647,5e-05
22,0.0624,0.9951,1.1627,0.8559,0.7027,0.7162,0.55,0.8824,5e-05
23,0.0741,0.9961,1.2124,0.8529,0.7838,0.7647,1.0,0.5294,2.5e-05
24,0.0594,0.998,0.84,0.8559,0.8108,0.8074,0.85,0.7647,2.5e-05
25,0.0211,1.0,1.5101,0.8706,0.6757,0.6912,0.5,0.8824,2.5e-05
26,0.0223,1.0,2.3002,0.8382,0.5946,0.5588,1.0,0.1176,2.5e-05
