epoch,train_loss,train_auc,val_loss,val_auc,val_acc,val_bal_acc,val_brier,val_ece,val_sens,val_spec,lr
1,0.6025,0.7436,0.7247,0.9176,0.5405,0.5,0.2563,0.2922,1.0,0.0,0.0001
2,0.5784,0.7823,0.8345,0.8618,0.5946,0.5588,0.2804,0.2803,1.0,0.1176,0.0001
3,0.5859,0.7788,1.2335,0.8471,0.4595,0.5,0.4414,0.4435,0.0,1.0,0.0001
4,0.5928,0.7561,1.2146,0.7088,0.4595,0.5,0.4377,0.4372,0.0,1.0,0.0001
5,0.543,0.8083,1.2294,0.8941,0.5405,0.5,0.3868,0.3795,1.0,0.0,0.0001
6,0.5026,0.8377,0.4645,0.8735,0.7568,0.7485,0.1509,0.1869,0.85,0.6471,0.0001
7,0.4947,0.8523,1.1789,0.9147,0.5405,0.5,0.3788,0.3698,1.0,0.0,5e-05
8,0.4662,0.8627,0.723,0.9059,0.7027,0.6809,0.2252,0.2382,0.95,0.4118,5e-05
9,0.4871,0.8572,0.4642,0.8971,0.7838,0.7824,0.1551,0.1838,0.8,0.7647,5e-05
10,0.4575,0.8597,0.9739,0.8676,0.5405,0.575,0.3507,0.3767,0.15,1.0,5e-05
11,0.4622,0.8696,0.4997,0.8912,0.7568,0.7574,0.1653,0.1267,0.75,0.7647,5e-05
12,0.4442,0.8814,0.5245,0.9029,0.8108,0.825,0.1738,0.2373,0.65,1.0,5e-05
13,0.4493,0.872,1.046,0.9059,0.5676,0.5294,0.3351,0.3476,1.0,0.0588,2.5e-05
14,0.3953,0.9003,0.4927,0.9,0.7297,0.7324,0.1716,0.1958,0.7,0.7647,2.5e-05
15,0.3792,0.9129,0.5934,0.8765,0.7297,0.7147,0.1809,0.1856,0.9,0.5294,2.5e-05
16,0.4203,0.8973,0.5656,0.9,0.7297,0.7324,0.189,0.1876,0.7,0.7647,2.5e-05
17,0.3283,0.9377,1.0958,0.9294,0.5946,0.5588,0.3368,0.3541,1.0,0.1176,2.5e-05
18,0.3502,0.9293,0.8632,0.8765,0.6486,0.6176,0.2615,0.2949,1.0,0.2353,2.5e-05
19,0.3112,0.9379,0.638,0.8941,0.7568,0.7662,0.2012,0.2113,0.65,0.8824,2.5e-05
20,0.415,0.8995,0.5864,0.8794,0.7568,0.7574,0.1848,0.1686,0.75,0.7647,2.5e-05
21,0.2897,0.9497,0.9358,0.9,0.6486,0.6176,0.2758,0.304,1.0,0.2353,2.5e-05
22,0.3174,0.9408,0.8479,0.8529,0.7568,0.7397,0.226,0.2302,0.95,0.5294,2.5e-05
23,0.3378,0.9303,1.6433,0.5059,0.5405,0.5,0.4283,0.4246,1.0,0.0,1.25e-05
24,0.3202,0.9423,0.7535,0.8765,0.7568,0.7662,0.2117,0.2481,0.65,0.8824,1.25e-05
25,0.3534,0.9325,0.8465,0.8765,0.7297,0.7103,0.2291,0.2415,0.95,0.4706,1.25e-05
26,0.2701,0.9515,1.4551,0.9088,0.5676,0.5294,0.3911,0.4009,1.0,0.0588,1.25e-05
27,0.3155,0.9435,0.8362,0.8353,0.7297,0.7368,0.2271,0.2596,0.65,0.8235,1.25e-05
28,0.2483,0.9706,1.1524,0.8765,0.6486,0.6176,0.3104,0.3252,1.0,0.2353,1.25e-05
29,0.2037,0.9767,1.4641,0.8971,0.5946,0.5588,0.3675,0.3787,1.0,0.1176,6.25e-06
30,0.1909,0.9748,0.7935,0.8706,0.7838,0.7691,0.2093,0.2307,0.95,0.5882,6.25e-06
31,0.2125,0.9718,0.7287,0.8441,0.7838,0.7824,0.1914,0.2052,0.8,0.7647,6.25e-06
32,0.292,0.9627,0.8258,0.8441,0.7568,0.7397,0.2083,0.2216,0.95,0.5294,6.25e-06
