epoch,train_loss,train_auc,val_loss,val_auc,val_acc,val_bal_acc,val_brier,val_ece,val_sens,val_spec,lr
1,0.6215,0.6995,0.6405,0.8676,0.5676,0.5294,0.2207,0.2312,1.0,0.0588,0.0001
2,0.6157,0.7419,2.0422,0.8471,0.5405,0.5,0.4433,0.4473,1.0,0.0,0.0001
3,0.5723,0.7762,2.803,0.8912,0.4595,0.5,0.532,0.5355,0.0,1.0,0.0001
4,0.586,0.7702,0.7282,0.8471,0.5676,0.5956,0.2724,0.2932,0.25,0.9412,0.0001
5,0.5395,0.8064,0.4916,0.8794,0.7568,0.7662,0.1694,0.1491,0.65,0.8824,0.0001
6,0.5519,0.7975,0.6902,0.8941,0.5676,0.5294,0.2416,0.2238,1.0,0.0588,0.0001
7,0.521,0.8235,1.502,0.8706,0.5405,0.5,0.3971,0.4189,1.0,0.0,0.0001
8,0.5016,0.8416,0.5243,0.8912,0.8108,0.825,0.1791,0.2606,0.65,1.0,0.0001
9,0.5512,0.8113,0.4962,0.8735,0.7297,0.7368,0.1714,0.1806,0.65,0.8235,0.0001
10,0.4887,0.8428,1.7025,0.8647,0.4595,0.5,0.4617,0.4911,0.0,1.0,0.0001
11,0.5151,0.8254,1.3375,0.8529,0.5405,0.5,0.3843,0.4052,1.0,0.0,0.0001
12,0.4342,0.8836,1.0125,0.8853,0.5946,0.5588,0.2951,0.3345,1.0,0.1176,5e-05
13,0.4656,0.866,0.8637,0.8765,0.7027,0.725,0.2496,0.3231,0.45,1.0,5e-05
14,0.3756,0.9107,0.5731,0.8912,0.7568,0.7353,0.1812,0.1812,1.0,0.4706,5e-05
15,0.4374,0.8794,0.4602,0.8971,0.7838,0.7735,0.1495,0.1279,0.9,0.6471,5e-05
16,0.4759,0.8645,0.5719,0.8941,0.7568,0.7397,0.1809,0.1836,0.95,0.5294,5e-05
17,0.4242,0.8887,0.4712,0.8794,0.7838,0.7824,0.1525,0.1611,0.8,0.7647,5e-05
18,0.4292,0.8868,0.8005,0.9029,0.5676,0.5294,0.2629,0.2943,1.0,0.0588,5e-05
19,0.4417,0.8786,0.6824,0.8765,0.7027,0.7118,0.1988,0.2635,0.6,0.8235,5e-05
20,0.4189,0.8958,0.6929,0.8765,0.7297,0.7456,0.2078,0.2261,0.55,0.9412,5e-05
21,0.4304,0.8879,2.1949,0.8559,0.5405,0.5,0.4448,0.45,1.0,0.0,5e-05
22,0.4607,0.8684,0.4041,0.9118,0.8649,0.8618,0.1262,0.1613,0.9,0.8235,5e-05
23,0.3996,0.9045,0.55,0.8706,0.8108,0.7985,0.1634,0.1621,0.95,0.6471,5e-05
24,0.408,0.8962,0.512,0.8912,0.7838,0.7868,0.168,0.1472,0.75,0.8235,5e-05
25,0.4208,0.8957,0.5463,0.8794,0.8108,0.7985,0.1595,0.1549,0.95,0.6471,5e-05
26,0.4233,0.8957,0.4359,0.9,0.7838,0.7868,0.1463,0.1578,0.75,0.8235,5e-05
27,0.4285,0.89,0.5363,0.8824,0.7568,0.7574,0.1694,0.1953,0.75,0.7647,5e-05
28,0.3802,0.9107,0.8974,0.8794,0.6757,0.6956,0.245,0.2784,0.45,0.9412,2.5e-05
29,0.3431,0.9256,0.5446,0.8824,0.8378,0.8279,0.15,0.1616,0.95,0.7059,2.5e-05
30,0.3299,0.9293,1.2829,0.8882,0.5676,0.5294,0.3562,0.3864,1.0,0.0588,2.5e-05
31,0.3575,0.9263,0.5319,0.8676,0.7838,0.7868,0.1712,0.152,0.75,0.8235,2.5e-05
32,0.3172,0.9402,0.546,0.8765,0.8108,0.7985,0.1585,0.1604,0.95,0.6471,2.5e-05
33,0.3313,0.9319,1.4701,0.8618,0.5676,0.6,0.3542,0.4,0.2,1.0,2.5e-05
34,0.3507,0.9231,0.6472,0.8265,0.7568,0.7618,0.1995,0.1969,0.7,0.8235,1.25e-05
35,0.3245,0.9382,0.5628,0.8647,0.7568,0.7574,0.164,0.1611,0.75,0.7647,1.25e-05
36,0.3736,0.9179,0.5367,0.8676,0.8108,0.8029,0.1471,0.1834,0.9,0.7059,1.25e-05
37,0.2838,0.9501,0.6035,0.8529,0.8108,0.7985,0.1572,0.1735,0.95,0.6471,1.25e-05
