epoch,train_loss,train_auc,val_loss,val_auc,val_acc,val_bal_acc,val_brier,val_ece,val_sens,val_spec,lr
1,0.6395,0.6891,0.655,0.8706,0.5676,0.5294,0.2272,0.2535,1.0,0.0588,0.0001
2,0.6109,0.7402,0.7828,0.7382,0.5405,0.5,0.2776,0.2071,1.0,0.0,0.0001
3,0.5997,0.7619,0.8329,0.8118,0.4865,0.525,0.3193,0.3237,0.05,1.0,0.0001
4,0.5875,0.7574,1.3084,0.7912,0.4595,0.5,0.4546,0.4563,0.0,1.0,0.0001
5,0.5424,0.8085,1.1248,0.6882,0.5405,0.5,0.3688,0.3535,1.0,0.0,0.0001
6,0.548,0.8035,0.6379,0.8294,0.7027,0.6765,0.2092,0.1788,1.0,0.3529,0.0001
7,0.5395,0.814,0.6258,0.7765,0.7027,0.6853,0.2049,0.2018,0.9,0.4706,5e-05
8,0.4682,0.8588,1.096,0.7382,0.5676,0.5294,0.3487,0.3475,1.0,0.0588,5e-05
9,0.5001,0.8464,0.4869,0.8676,0.7838,0.7824,0.1596,0.1179,0.8,0.7647,5e-05
10,0.4747,0.8569,1.1546,0.8618,0.4865,0.525,0.405,0.4256,0.05,1.0,5e-05
11,0.4749,0.8648,0.5167,0.8853,0.7297,0.7324,0.175,0.1588,0.7,0.7647,5e-05
12,0.4634,0.8618,0.6797,0.8882,0.6757,0.7,0.2368,0.2762,0.4,1.0,5e-05
13,0.4789,0.8568,0.7539,0.8618,0.7027,0.6765,0.2382,0.2505,1.0,0.3529,5e-05
14,0.4274,0.8928,0.9655,0.8618,0.5676,0.6,0.3301,0.3658,0.2,1.0,5e-05
15,0.4248,0.8902,1.2341,0.7735,0.5676,0.5294,0.3713,0.3753,1.0,0.0588,5e-05
16,0.4602,0.8736,0.5733,0.8765,0.7568,0.7574,0.1875,0.1622,0.75,0.7647,5e-05
17,0.4382,0.8829,0.643,0.9147,0.7297,0.7103,0.2002,0.2061,0.95,0.4706,5e-05
18,0.3668,0.9153,0.6332,0.8765,0.7838,0.7691,0.1876,0.1793,0.95,0.5882,5e-05
19,0.4273,0.8779,0.6624,0.8618,0.7568,0.7397,0.1968,0.1778,0.95,0.5294,5e-05
20,0.4516,0.8778,0.5028,0.8824,0.7568,0.7485,0.1628,0.1443,0.85,0.6471,5e-05
21,0.4018,0.9012,0.6577,0.8559,0.7297,0.7456,0.2061,0.2122,0.55,0.9412,5e-05
22,0.4088,0.9057,0.7572,0.8971,0.7568,0.7397,0.2101,0.2111,0.95,0.5294,5e-05
23,0.379,0.9195,0.5363,0.8529,0.7568,0.7529,0.168,0.1828,0.8,0.7059,2.5e-05
24,0.3376,0.9317,1.605,0.7765,0.5405,0.5,0.4223,0.4232,1.0,0.0,2.5e-05
25,0.3111,0.9391,1.5704,0.7735,0.5405,0.575,0.4352,0.4572,0.15,1.0,2.5e-05
26,0.3744,0.9227,1.4397,0.7971,0.5946,0.5588,0.3631,0.3749,1.0,0.1176,2.5e-05
27,0.3613,0.916,0.6131,0.8794,0.8108,0.8118,0.1757,0.1782,0.8,0.8235,2.5e-05
28,0.3228,0.9352,0.8282,0.8559,0.7297,0.7368,0.2386,0.2411,0.65,0.8235,2.5e-05
29,0.3663,0.9274,0.7544,0.8412,0.7568,0.7706,0.2099,0.2469,0.6,0.9412,1.25e-05
30,0.4375,0.9127,0.7501,0.8647,0.7297,0.7368,0.2116,0.2309,0.65,0.8235,1.25e-05
31,0.3655,0.9199,1.134,0.8824,0.5946,0.5588,0.3272,0.3568,1.0,0.1176,1.25e-05
32,0.2374,0.9672,0.6694,0.8824,0.8108,0.7985,0.1696,0.148,0.95,0.6471,1.25e-05
