Variable,AD (n=193),CN (n=172),Test,p,p (MWU),Effect size
Age at scan (years),76.8 ± 7.9,69.6 ± 8.6,Welch t / MWU,4.45e-15,5.48e-14,d=0.87
Education (years),14.6 ± 3.1,16.2 ± 2.7,Welch t / MWU,3.54e-07,7.66e-07,d=-0.54
SES,2.5 ± 1.2,2.0 ± 1.0,Welch t / MWU,3.95e-05,1.65e-04,d=0.43
MMSE,24.5 ± 3.8,29.1 ± 1.2,Welch t / MWU,8.98e-40,2.49e-38,d=-1.61
CDR,0.7 ± 0.3,0.0 ± 0.0,Welch t / MWU,1.87e-86,3.27e-71,d=3.52
APOE e4 alleles (count),0.7 ± 0.6,0.3 ± 0.6,Welch t / MWU,9.88e-09,2.91e-09,d=0.61
Sex,"Female: 93 (48%), Male: 100 (52%)","Female: 105 (61%), Male: 67 (39%)",chi2(df=1),0.018,,chi2=5.6
APOE e4 carrier,"Carrier: 119 (62%), Non-carrier: 74 (38%)","Carrier: 51 (30%), Non-carrier: 121 (70%)",chi2(df=1),1.81e-09,,chi2=36.2
Voxel size,"1.0x1.0x1.0: 160 (83%), 1.0x1.0x1.25: 12 (6%), 1.2x1.055x1.055: 21 (11%)","1.0x1.0x1.0: 115 (67%), 1.0x1.0x1.25: 5 (3%), 1.2x1.055x1.055: 52 (30%)",chi2(df=2),1.45e-05,,chi2=22.3
Volume shape,"160x224x256: 0 (0%), 160x256x256: 0 (0%), 176x240x256: 21 (11%), 176x256x256: 160 (83%), 192x240x256: 0 (0%), 192x242x256: 0 (0%), 256x256x128: 12 (6%)","160x224x256: 5 (3%), 160x256x256: 1 (1%), 176x240x256: 52 (30%), 176x256x256: 105 (61%), 192x240x256: 2 (1%), 192x242x256: 2 (1%), 256x256x128: 5 (3%)",chi2(df=6),2.33e-06,,chi2=36.4
